name,age,street,city,state,zip,lng,lat
Lisa Armstrong,18,463 Benton Expressway,Goodport,Michigan,68170,-157.414926,10.272154
Summer Austin,18,5617 Miller Parkways Suite 990,West Brandonhaven,Hawaii,25888,-56.253237,-42.386141
Rebecca Gomez,18,62690 Craig Fords Suite 940,North William,Minnesota,59736,-16.515066,71.1139745
Dr. Kimberly Wiggins,18,78507 Wilson Skyway Apt. 576,Burgesschester,Arizona,54840,125.139144,43.0822365
Robert Martin,18,7290 Judy Coves,Angelicaburgh,South Carolina,29791,-177.195285,73.6702265
Luis Alvarez,18,4623 James River,South Donaldborough,New York,85201,113.500351,38.649964
Brian Juarez,18,618 Denise Canyon Suite 068,Jacksonborough,Rhode Island,49950,73.428635,70.9936605
April May,18,0182 Wheeler Lake,New Patriciafort,South Carolina,37709,31.176793,32.449709
Mark Martinez,18,4188 Carol Plain,Annemouth,Connecticut,40827,152.860577,-69.359842
Brenda Valdez,18,613 Hart Coves,New James,North Dakota,06488,118.100589,35.5972605
Edward Hull,18,815 Amber Valley Suite 100,Port Larry,Indiana,16420,126.922279,71.7720635
Daniel Smith,18,99364 William Corners,North Adriennefurt,Arizona,09154,36.608049,69.5135815
Kara Davis,18,21920 Edwards Port Suite 883,Ericastad,Nevada,79753,83.251056,-71.283969
Gregory Gillespie,18,9340 Conway Dale Apt. 994,North Carloston,Iowa,68619,54.996493,7.143038
Cheryl Ochoa,18,212 Martinez River,East Randy,Arkansas,15939,-45.817720,57.7907825
Heather Todd,18,67446 Leon Oval,Jenniferville,Indiana,47806,37.794902,-76.8926125
Edward Owens,18,012 Brown Skyway Suite 602,Johnsonton,Wyoming,45302,68.947481,80.0964265
Kimberly Hernandez,18,684 Hernandez Knolls,New Joshuabury,Delaware,45238,114.569507,52.169445
Michael Bailey,18,754 Mendoza Lane,Chambersburgh,Texas,70797,-176.648432,-25.5947255
Pamela Foster,18,97821 Brown Crescent,Coleton,New York,51507,-54.461332,-22.411796
Michelle Jordan,18,802 Ferguson Views,Patelchester,Indiana,03631,-139.517479,42.5244655
Kylie Wright,18,8316 Davis Circle,West Jessica,Pennsylvania,88715,144.644623,88.7297725
Megan Reed,18,5366 Brandon Key,Port Jasmine,Connecticut,57082,175.154818,-85.338892
Christopher Harrington,18,006 Howard Extension Apt. 085,Tonyton,New York,01241,-138.584743,-63.5894205
Bradley Williams,18,01548 Tucker Haven Apt. 878,Mcgrathside,Wyoming,35171,-145.406449,89.420014
Sally Cobb,18,624 Sanchez Bridge Apt. 223,Vazquezville,Oklahoma,72311,-40.000545,-28.414901
Teresa Ward,18,4155 Bullock Mills,Meyerbury,Nebraska,94454,12.567948,-83.520800
Samantha Ashley,18,8942 Ingram Rue,Jacobburgh,Connecticut,39632,-166.825362,-2.505753
Brenda Ramirez,18,3392 Cruz Club Apt. 309,Jordanberg,Louisiana,98464,-179.790209,59.4872385
Timothy White,18,295 Hall Field,West William,New Jersey,12288,105.067469,-45.430994
Jennifer Wallace,18,81407 Kim Grove,Masseyfurt,Maine,18436,-151.910504,10.198587
Jennifer Mcneil,18,0703 Amanda Mall,East Denise,Kansas,36362,-64.632927,2.618293
Gregory Bates,18,6076 Phillip Extension Suite 403,West Erica,Wyoming,86251,37.132021,-22.8724245
Krista Weber,18,35207 Shannon Row,Kelseyton,Colorado,76606,-162.827094,3.7912865
Kim Sanchez,18,9966 Andrew Dale Suite 773,Silvamouth,Virginia,76619,71.123645,-74.8664315
Amanda Aguirre,18,163 Brian Highway,Erikahaven,Idaho,89745,-43.068731,-63.4466635
Cheryl Simpson,18,14336 David Brooks Apt. 806,New Markside,Kansas,84895,129.903795,-83.8425435
Darrell Hawkins,18,5929 Mccullough Shores Apt. 266,Hoffmanfort,Ohio,54897,109.818609,-2.4803885
Nicholas Bennett,18,646 Joseph Path,Masonton,South Carolina,88993,13.689116,-77.3937735
Diane Cooper,18,389 Carrie Ridges,West Valerie,Maine,08779,-29.836359,12.0407215
Ryan Ward,18,529 Stephanie Unions,Amychester,Iowa,42369,-88.247712,85.047537
Chad Yang,18,314 Beverly Shoals,Nancyberg,Oregon,32880,-114.810930,67.130782
Wayne Koch,18,68616 Jocelyn Key,West Jeffreymouth,South Dakota,47656,65.186280,-21.1986685
Elizabeth Branch,18,004 Rick Ridges Suite 352,West Fredborough,Rhode Island,40071,-164.253350,87.238210
Logan Benson,18,00489 Emily Track Apt. 113,West Coletown,Delaware,21295,-119.758850,-80.3737365
Richard Mejia,18,516 Mandy Walks,Ashleyborough,West Virginia,52677,-164.165493,-53.1733995
Jeffrey Mercado,18,2165 Chad Isle,West Loganville,Maryland,02275,-136.195150,-11.369846
Joseph Norman,18,219 Lewis Parkways,East Rebekahside,New Mexico,70259,-60.825669,-87.439610
Donna Blankenship,18,4264 Rita Loaf,Claytonview,Georgia,36878,-152.304006,-44.3939855
Justin Scott,18,68567 Edward Drives,South Angelaview,North Carolina,64506,-145.749315,-37.9613355
Karen Johnson,18,0396 Todd Parkways Apt. 854,New Stephanie,Indiana,68061,133.873880,12.279859
Edward Moss,18,13360 Beth Islands Suite 894,Johnbury,Idaho,49290,73.810329,-80.9411045
Jessica Madden,18,3743 Gomez Mountain,Ruizland,Hawaii,66664,-79.718619,32.269286
Jill Salazar,18,7433 Lewis Park Apt. 166,South Davidside,Florida,18458,-6.867988,62.350936
James Bradley,18,04966 Karen Parkway Apt. 398,Lake Jeremy,Montana,25267,121.373106,-70.9327775
Mark Burke,18,15816 Amber Squares Apt. 670,Huangshire,Nevada,38488,117.999989,-29.5571135
Kevin Myers,18,422 Arthur Walk,Lovechester,Arizona,38160,-118.113102,-24.574061
Ms. Cathy Rose,18,2366 Mark Centers Apt. 680,New Monicaland,Minnesota,29904,22.040350,80.8048345
Cody Smith,18,41200 Connor Ferry,North Rachel,Maine,67129,141.517318,-73.208863
Stacy Hudson,18,23228 Timothy Ridges,South Judithburgh,Nebraska,85787,3.983236,-79.1244095
Robert Williams,18,83653 Wells Keys,North Adam,Wisconsin,52841,-98.133001,-5.206977
Jonathan Reed,18,121 Michelle Knoll Suite 177,South Adam,Utah,72659,-117.193956,-0.857636
Patrick White,18,395 James Garden Suite 139,Loweside,South Carolina,87757,-157.558329,-14.626527
Nicole Roberts,18,79041 Crystal Mews Apt. 674,East Kennethview,Pennsylvania,83645,-91.832840,-53.449189
Patricia Green,18,27907 Jeffrey Dam Suite 628,Rebeccaborough,Missouri,37303,-94.191151,-77.8016725
Melissa Young,18,6493 Valentine Ridges,East Erica,Colorado,81869,38.583933,-75.4853705
Christopher Combs,18,948 Kelly Estate,Candiceburgh,Utah,87951,9.653570,-44.108459
Darryl Webb,18,828 Bernard Drive,Rogersmouth,Mississippi,48046,38.350226,-76.425965
William Higgins,18,134 William Camp,East Jenniferbury,Maine,42025,11.590218,-59.755119
Travis Hughes,18,02260 Amanda Row,Jonesview,Kansas,86736,154.121614,0.429173
Krista Martinez,18,6775 Patton Pines,South Aliciatown,Oklahoma,51615,107.333527,-18.0464555
Robert Palmer,18,48014 Dana Mall,Georgehaven,Missouri,16340,150.325512,-40.723569
Patrick Fowler,18,92491 Joseph Field,Ramirezborough,Delaware,52363,104.403110,-11.6287865
Cheryl Roberts,18,931 Sweeney Avenue,Armstrongfort,Alaska,26981,129.884545,-3.230569
Ana Watts,18,8757 Johnson Hills,Johnnyville,Ohio,31228,-81.925965,-87.7589685
Erica Glover,18,70005 Raymond Views Suite 065,North Andrew,North Carolina,71545,49.207555,62.712275
Patricia King,18,5332 Armstrong Mountains,North Victoriatown,Oklahoma,26947,-70.187046,26.486099
Gabrielle Lane,18,660 Wood Spring Apt. 483,Ericberg,Iowa,37116,-126.494890,-45.6376785
Christian Hall,18,3331 Barbara Motorway,Port Marie,South Carolina,18233,84.013633,-25.7478005
Melissa Everett,18,886 Albert Mountain Apt. 344,Port Christopherburgh,Rhode Island,28152,14.631402,-63.9699495
Justin Johnson,18,282 Gibbs Unions Apt. 872,North Amanda,Mississippi,67047,-163.730266,-77.674176
Chris Ruiz,18,00874 David Ports Suite 007,West Alisonview,Alabama,76653,2.015249,22.8936705
Dorothy Brown,18,822 Kevin Circles Apt. 886,Alexisborough,Kansas,99673,33.714803,69.570734
Denise Buckley,18,35736 Emily Passage Suite 853,Greenmouth,Illinois,83023,67.035031,-56.1612015
David Thompson,18,274 Zimmerman Flat Apt. 198,Lake Ashleyborough,Massachusetts,28127,136.370603,47.8177555
Mackenzie Richardson,18,86992 Hernandez Mills Apt. 949,Lake Johnfurt,New York,41489,-61.155034,63.6891345
Shawn Parker,18,96571 Rhodes Plains Suite 973,Macdonaldburgh,Kentucky,34069,174.487067,48.080176
Luis Burton,18,03073 Matthew Points Apt. 951,North Stevenstad,Hawaii,82014,-160.294995,-62.708100
Stephanie Benjamin,18,398 William Hills,Vanessaville,Indiana,82125,9.849954,82.447931
Mary Sanders,18,751 Walsh Pass,Jacquelinehaven,Florida,58166,68.818298,-65.2946095
Albert Martinez,18,557 Clark Loaf,New Stacy,New Mexico,30079,-117.320431,-11.3658575
Cindy Campos,18,5271 Gillespie Summit Apt. 373,Lake Michelleport,Indiana,49049,-101.187827,61.6078385
Ryan Rodriguez,18,1939 Morgan Expressway Apt. 598,Houstonhaven,Ohio,92489,-161.308698,-7.9331385
Andrew Murray,18,26983 Gonzalez Hollow,Erikaburgh,Oklahoma,84302,-112.329135,68.6572065
Krista Parker,18,672 Scott Forest Suite 888,Jenniferhaven,Illinois,10092,-104.329325,76.018130
Stephanie Rodriguez,18,329 Gonzalez Fall,Port Bethanyberg,Oregon,32523,-163.022601,65.7126975
Susan Ramirez,18,703 Willis Ridges Suite 122,East Margaret,Mississippi,85287,-125.601678,-33.5371645
Joanne Phillips DVM,18,890 David Crossroad Suite 183,New Valerie,South Dakota,48382,139.658083,-12.095821
Kevin Harris,18,1414 Veronica Rest,West Sarahfurt,Vermont,80295,-155.693221,-22.8354955
Destiny Wiley,18,21945 Schwartz Views,Theresamouth,Illinois,28640,97.290695,-5.632923
Cheryl Patel,18,86287 Abigail River Suite 971,Royfurt,Colorado,13516,-7.937543,-15.107080
Donald Ramirez,18,960 Levy View,Rogersbury,Mississippi,56884,-45.809393,-81.6545615
Amy Dawson,18,052 Phillips Freeway Apt. 462,Lake Donaldfort,Florida,55231,72.156852,-65.913104
Jason Peterson,18,2853 Jesse Extensions,South Aimee,Pennsylvania,50259,70.094764,-49.095090
Christopher Fry,18,51564 Turner Cape Suite 773,East Rachel,South Dakota,17865,-134.367967,-11.770011
Mark Logan,18,0606 Lisa Square Apt. 838,Robertview,Idaho,83362,-71.802284,5.5811955
Bobby Griffin,18,391 Dalton Crest,Courtneyshire,Iowa,55153,-93.605754,-11.1662265
Joseph Chapman,18,85103 Robert Estates,Christophermouth,Texas,76091,143.202806,-70.7563495
Eugene Mccoy,18,2442 Garcia Mews,Lake Daniel,New Jersey,12206,-42.650263,-72.019870
Jessica Smith,18,2710 Andrew Manor,Danaview,Massachusetts,30510,105.085431,-3.7298085
John Williams,18,8393 Dudley Meadows,Barbaratown,Oregon,09548,90.734472,64.586081
Wendy Green,18,7354 Moore Shoal,Tommyside,Pennsylvania,58604,15.132447,16.354868
Katherine Lopez,18,097 Day Stream,New Raymond,Kansas,07984,24.992587,37.2041265
Robin Valentine,18,2858 Michele Estates,Brownmouth,West Virginia,86857,-80.229441,52.653666
Michael Newman,18,293 Heather Divide,North Chadbury,Kentucky,90383,173.703214,-6.7785385
Sean Lane,18,4110 Stephanie Place Suite 083,West Carrie,South Carolina,80143,-86.718246,46.583456
Katelyn Clay,18,6953 Johnson Lock Suite 493,East Haleyview,Virginia,16426,109.112309,0.8223475
Kimberly Parker,18,3727 Johnson Junctions Apt. 761,Port Carolview,Michigan,49720,53.697104,-74.4563065
Sara Larson,18,869 Taylor Plains,Staceymouth,Maine,64945,-149.651126,-63.3354975
Jaclyn Allen,18,8500 Kevin Extensions,Danielchester,Kentucky,90345,32.497853,22.1420525
Ashley Sanchez,18,689 Young Road,West Jeremyport,Washington,66703,85.633255,-66.6275565
Melanie Gordon,18,48888 Matthew Lock,Baileyside,Texas,94691,-169.939757,-25.624033
Jordan Anthony,18,83926 Tiffany Forks Suite 476,North Sheilaborough,Tennessee,95362,-97.713737,21.082796
Jacob Carrillo,18,18373 Kenneth Wells,New Deannatown,Oklahoma,39059,82.928700,-67.2690845
Alicia Marshall,18,84270 Connie Islands Suite 704,Port Jamesstad,Wyoming,61025,1.075954,-32.2302445
Kerry Gonzalez,18,20197 Mcdonald Route,Kimberlyside,Utah,16359,-79.050115,-31.709193
Lauren Jackson,18,28556 Finley Ways,Stacyland,Utah,66766,99.428356,73.9738315
Tracy Fowler,18,02762 Seth Dale,Morenoton,California,87687,-115.262275,58.1964425
Carly Reid,18,00390 Morgan Freeway Apt. 359,North Jennifer,Indiana,79803,25.012642,-53.469739
Kevin Horne,18,0335 Sullivan Forges Apt. 654,Kellyhaven,California,14866,-96.933592,79.562358
Lori Nelson,18,9754 Kim Run,North Derekmouth,Florida,29127,-133.413871,37.869200
Laura Cunningham,18,8595 Rodgers Throughway Apt. 877,Davismouth,North Dakota,12865,-29.999525,14.713107
Zachary Shah,18,74125 Jesus Port,Bonillaland,New York,79727,45.291430,-41.8325885
Mrs. Cheryl Vaughn DDS,18,087 Christine Mount,East Karenchester,Oklahoma,52508,160.828491,16.020454
Nathan Wood,18,08458 Delgado Gateway Suite 677,Port Pamelaberg,Iowa,46495,133.601963,64.016659
Heather Walter,18,86315 May Islands Suite 211,Williamfurt,Alabama,84650,119.533081,-88.9869705
Kathryn Jarvis,18,113 Cline Squares,Brownfurt,Alaska,79224,-3.530012,-21.065472
Dominique Hernandez,18,065 Higgins Vista Suite 782,Lake Craigside,Illinois,20554,26.195074,7.678461
Susan Simmons,18,8784 Casey Shoals,Judychester,Arizona,29204,-65.339612,-82.180235
Amy Dennis,18,7448 Warner Trafficway,Lake Maria,Alaska,55339,48.310441,29.8327685
Joshua Mcmillan,18,736 Jefferson Port,Brendamouth,Rhode Island,76849,99.762902,59.349448
Jon Rodriguez,18,5620 Davis Mall Suite 538,South Adam,Utah,09956,21.180414,5.941506
Elizabeth Price,18,97510 Johnson Park,Karenchester,Arizona,92075,-151.302385,-71.5073185
Kristen Myers,18,780 Martinez Views,Howardtown,Mississippi,21085,48.427601,-19.7022345
Cathy Mcgee,18,174 Mcguire Corner,New Biancabury,Missouri,36264,-68.153365,-26.229648
Brandon Brown,18,00735 Hamilton Turnpike,New Lisa,Wisconsin,70279,-5.528659,76.6330795
Joseph Klein,18,4764 Hunter Canyon,West Rickyland,Idaho,81609,40.701257,37.6198595
Rebekah Schroeder,18,7642 Mason Greens Suite 224,Levytown,New Mexico,02403,-19.064955,-52.2172775
Ashley Jenkins,18,76235 Taylor Roads,Taramouth,Pennsylvania,25808,47.010389,66.132888
Kathryn Carter,18,13449 Jerry Estates,Adamstad,Massachusetts,60236,27.487781,59.978233
Katie Elliott MD,18,8997 Ayers Garden,Lake Tarashire,Georgia,68569,-34.983908,-70.8153925
Victor Dorsey,18,6833 Tucker Rue,West Katelyn,Louisiana,43200,-9.434056,-56.974170
Savannah May,18,63914 Joseph Rapids,North Darryl,Colorado,40880,134.717875,77.274308
Caleb Maddox,18,75863 Savage Causeway,Phillipsborough,Kentucky,33295,161.351673,-75.7942045
Anthony Herrera,18,130 Anderson Stravenue,East Rachel,New Jersey,11429,127.305621,40.771796
Kristi Harris,18,97453 Kayla Fields Apt. 052,New Edward,Iowa,01779,161.135203,-70.7602775
Briana Blackwell,18,4359 Gonzales Avenue,Bruceborough,California,22089,154.482473,34.686401
Martin Hardy,18,430 Kathleen Shore Suite 744,West Kevinport,Hawaii,44349,101.694137,40.2956585
Logan Pacheco,18,1156 Sandra Terrace,New Brandontown,Mississippi,63674,152.466300,-73.6539915
Justin Castro DDS,18,36688 Nathan Views Suite 439,Melissaborough,Wisconsin,24370,-61.724947,46.5965095
Valerie Harris,18,9346 Angel Ramp Suite 588,South Marisaland,Alabama,05946,30.654153,-68.0454725
Colleen Maxwell,18,932 Hill Mews,Lake Melissa,Tennessee,14873,-95.893041,-60.7000575
Thomas Rivera,18,956 Bradley Freeway,Lake Williamton,California,35834,-130.700260,-25.635623
Karen Chambers,18,46679 Cooper Vista,Taylorburgh,California,34602,69.585140,-25.914690
Joseph Townsend,18,949 Robyn Ramp Suite 992,Port Heather,Maine,23684,-159.031888,18.001948
Joshua Huff,18,856 Stephanie Stravenue,South William,Alabama,55834,-8.526899,-80.1069415
Stephen Lambert,18,0675 Alyssa Cliff Suite 576,Johnsonville,Rhode Island,11994,69.679417,28.7034115
Meghan Frye MD,18,7185 Anthony Lane Suite 543,Allenbury,Michigan,42111,34.692582,80.2051995
Stephanie Goodman,18,36153 Sanders Via Apt. 578,Pittsport,Montana,81618,-50.701395,-73.406615
Mary Morrow,18,73773 Myers Stream,New Michael,Arkansas,07690,-139.918180,-27.3083315
Laura Anderson,18,515 Joshua Rapids,Laurenside,Kentucky,87727,90.997049,85.727195
Paul Duncan,18,5193 Contreras Islands Apt. 114,Jameschester,South Carolina,15113,-70.048379,23.8056355
Christopher Moore,18,953 David Trafficway Apt. 296,Dannystad,Alaska,23076,-132.998329,-5.964238
Matthew Miller,18,95111 Matthew Route,Choiberg,Illinois,70226,-18.085906,74.5662875
Julie Thompson,18,260 Mclaughlin Terrace,Stephaniemouth,Arkansas,27933,-146.177174,21.889621
Mrs. Elizabeth Marks,18,336 Andrew Forks Apt. 291,Lake Amandaburgh,Illinois,40296,98.123575,81.139285
Eric Bryan,18,312 Vickie Heights Suite 097,North Annettemouth,Delaware,71218,-101.137763,-54.6397655
Taylor Potts,18,07840 Avery Rue Apt. 208,South Edward,New Jersey,90724,154.336360,4.7358965
Andrew Saunders,18,3495 David Trail Apt. 309,Margaretfort,Indiana,51273,7.589139,18.3592495
Chelsea Parker,18,24262 Thompson Ridges Suite 853,Williamsstad,California,83420,112.814329,-17.791777
Morgan Simmons,18,705 Catherine Dam Suite 481,Moorechester,California,90821,-159.380914,-67.7437825
Barbara Castillo,18,982 Garcia Plains,Gabriellechester,Arizona,81773,-72.788859,5.8765655
Charles Alexander,18,86360 Stacey Village,Jenniferstad,New York,70155,59.083953,-47.510444
Daniel Allen,18,080 Reed Path,East Dennisside,Rhode Island,34074,-111.373562,-23.5736295
Jason Smith,18,4955 Alejandro Viaduct Suite 370,Port Paul,West Virginia,18136,113.258206,-62.6540735
Steve Phillips,18,48673 Anthony Garden Apt. 706,West Sethview,New York,62509,-64.111119,-1.2191135
Daniel Gay,18,768 Timothy Parks Suite 842,Tiffanymouth,Georgia,11825,-6.823920,83.666943
Rachel Glover,18,22456 Megan Ridges Apt. 594,Lake Michael,Georgia,51049,-25.667301,86.700075
Ashley Martin,18,0220 Dustin Lake,Audreybury,Maryland,80067,25.164248,22.493706
Michelle Davila,18,6459 Steven Hills Apt. 926,New Amandafort,Pennsylvania,09906,-2.296637,-59.545766
Julie Williams,18,455 Hughes Wells,Smithport,New York,20893,-92.439749,33.844651
Rachel Park,18,96852 Flynn Square Suite 142,New Joanport,Wisconsin,34413,162.043434,71.372724
John Bowen,18,80639 Roger Isle Suite 299,Romeroshire,North Carolina,51639,65.917230,-26.7105625
Dr. Richard Kelly DDS,18,9374 Miller Village,Brandonshire,Arkansas,88088,31.180098,40.5575155
Kristin Smith,18,8896 Clark Trafficway Apt. 298,Bridgesshire,Iowa,06057,3.016755,10.2554955
Jason Marquez,18,592 Sonya Extensions Suite 891,Gillespieburgh,California,09456,-49.348891,-89.190603
Crystal Obrien,18,597 Michael Isle,Whiteberg,Oklahoma,34846,-172.076507,67.687649
Brenda Goodwin,18,790 Jackson Points,North Anthony,Indiana,80528,-168.293738,-37.871859
Katie Lynch,18,7335 Jordan Run,New Steven,Utah,49971,40.438995,55.1805295
Kimberly Davis,18,739 Davis Parkway,Perezstad,Indiana,62082,62.475036,-52.3392475
Michael Edwards,18,639 Kristen Tunnel Apt. 269,North Curtisfurt,New Jersey,12069,-58.429374,-88.4139425
Virginia Buchanan,18,242 Caroline Cove Apt. 756,Moralesfort,Alaska,95267,134.916862,-39.0366725
Kenneth Carr,18,27353 Anderson Crest Apt. 577,Lake Christine,Alaska,70977,-118.155813,76.285416
Andrew Dixon,18,5914 Johnson Islands Apt. 499,Michellemouth,Vermont,17922,-24.006719,20.315359
Jennifer Gonzalez,18,00442 Alyssa Road,Angelaberg,Indiana,54910,116.427420,-58.202132
Renee Weaver,18,00813 Davis Branch,Everetthaven,Arizona,73176,-16.149658,-58.245714
Derrick Villanueva,18,75039 Farmer Drive,Davisbury,Oregon,44884,110.224344,-38.9991295
Michael Robinson,18,205 Hodge Underpass Suite 936,Scottchester,Texas,78843,-64.358411,69.504115
Peggy Willis,18,5411 Mills Forge,New Natalie,Arkansas,63839,-40.062239,81.372062
Charles Kennedy,18,97554 David Cliff,Lake Bettyton,New York,57656,102.303388,89.7797185
Cindy Young,18,045 Thompson Hollow Apt. 094,West Stephen,California,85427,174.165420,-83.8470365
Cassandra Montes,18,14102 Valerie Dale Apt. 490,South Alicia,Indiana,71805,-82.635458,89.5167035
Corey Bridges,18,842 Watson Falls Apt. 004,Frederickstad,Minnesota,06208,168.950992,27.1711755
Alison Scott,18,632 Karen Canyon Suite 451,Hallstad,Arizona,08258,-18.491770,23.283802
Meghan Morales,18,80745 Cunningham Courts,Lake Nathaniel,California,15743,146.337670,-26.348089
Linda Cruz,18,5751 Hoffman Unions,Theresaberg,Texas,62808,-45.817964,80.6796315
Caitlin Jensen,18,558 Angela Road,East Kimberlyview,Utah,09458,-114.730336,-80.434203
Kristy Brown,18,61346 Holt Trace,Lambertland,Maine,30613,-125.120923,-1.9838255
Jordan Mitchell,18,86250 Michael Common,East Ronnie,Illinois,36545,15.641110,-55.326406
Christopher Martin,18,4272 Vanessa Forks,Lake Wendyfort,Maine,26610,-113.027987,52.802601
Valerie Williams,18,718 Tran Ford Suite 186,West Dustin,Iowa,67627,147.853759,43.053604
Marcia Mendoza,18,26653 Charlotte Hollow Suite 550,Hardymouth,New Hampshire,28517,66.266036,1.9843635
Keith Moses,18,81137 Gregory Oval Apt. 801,Johnton,New Jersey,54040,-11.960500,89.2315995
Tina Stevens,18,90802 Baker Village,Schultzmouth,North Carolina,75639,-137.310325,28.1821205
Kathleen Benson,18,7400 Adam Trafficway Suite 189,South Ricky,Texas,40408,-25.874917,-54.806580
Jennifer Hall,18,4222 Emily Road Apt. 168,Lake Shannon,North Carolina,70377,-99.892730,-58.4516325
Connie Ewing,18,50826 Kayla Locks,Lake Petermouth,Florida,42876,-29.170915,46.7313825
Jennifer Rodriguez,18,0120 Garrison Crescent Suite 632,East Kelly,Minnesota,73193,109.599571,3.101955
Scott Espinoza,18,36195 Troy Bypass Apt. 924,East Samanthaport,North Dakota,16721,39.217638,83.1611575
Veronica Norman,18,417 Padilla Groves Apt. 912,South Jenniferfort,New Hampshire,53470,-45.778019,-34.2555845
Carolyn Nguyen,18,80073 Martin Viaduct Suite 423,Williamsview,Louisiana,39360,-145.031237,65.960067
Kimberly Coleman,18,4631 Williams Trafficway Apt. 075,Kevinbury,Alabama,73757,36.374776,-87.734573
David Winters,18,45199 Christopher Ports,Isabelview,Georgia,96013,99.782451,21.611834
Patricia Gibson,18,072 Johnson Road,Marthaton,Virginia,00763,3.453385,-55.9763785
Michael Thomas,18,95171 Crystal Village,Hernandezport,Virginia,65265,-19.914468,54.7967205
Bradley Williams,18,51189 Matthew Rapid Apt. 595,West Gregory,Nevada,98913,135.399136,-55.0877685
