customer_id,customer_name,age,gender,city,state,region,customer_segment,registration_date
C00209,Raj Yadav,63.0,M,Hyderabad,Telangana,South India,Retail,2022-12-10
C00210,Yadav Global Pvt Ltd,,Company,Kochi,Kerala,South India,Corporate,2024-07-04
C00211,Ravi Singh,55.0,M,Hyderabad,Telangana,South India,Retail,2021-12-17
C00212,Das Industries Pvt Ltd,,Company,New Delhi,Delhi,North India,Corporate,2024-03-27
C00213,Anjali Chopra,49.0,F,Thiruvananthapuram,Kerala,South India,Retail,2024-08-07
C00214,Deepak Bose,22.0,M,Panaji,Goa,West India,Retail,2021-11-20
C00215,Suresh Gupta,63.0,F,Ludhiana,Punjab,North India,Retail,2022-12-09
C00216,Deepak Rao,47.0,M,Visakhapatnam,Andhra Pradesh,South India,Retail,2022-07-02
C00217,Ravi Jain,44.0,M,Kanpur,Uttar Pradesh,North India,Retail,2021-11-24
C00218,Priya Nair,37.0,F,Noida,Uttar Pradesh,North India,Retail,2021-02-17
C00219,Riya Chopra,21.0,M,Bhopal,Madhya Pradesh,Central India,Retail,2022-07-31
C00220,Kavita Singh,34.0,F,New Delhi,Delhi,North India,Retail,2023-04-06
C00221,Raj Menon,36.0,M,Hyderabad,Telangana,South India,Retail,2023-03-03
C00222,Suresh Shah,25.0,M,Kozhikode,Kerala,South India,Retail,2021-07-18
C00223,Amit Singh,30.0,F,Chennai,Tamil Nadu,South India,Retail,2023-10-22
C00224,Ravi Verma,27.0,M,Margao,Goa,West India,Retail,2022-11-03
C00225,Anjali Chopra,50.0,F,Jodhpur,Rajasthan,West India,Retail,2024-12-22
C00226,Yadav Consulting Pvt Ltd,,Company,Vijayawada,Andhra Pradesh,South India,Corporate,2024-04-10
C00227,Rao Industries Pvt Ltd,,Company,Kolkata,West Bengal,East India,Corporate,2022-06-28
C00228,Pooja Singh,57.0,F,Thiruvananthapuram,Kerala,South India,Retail,2021-10-30
C00229,Sunita Reddy,38.0,F,Ahmedabad,Gujarat,West India,Retail,2021-11-07
C00230,Vikram Joshi,65.0,M,Margao,Goa,West India,Retail,2024-12-16
C00231,Aarti Jain,38.0,M,Bengaluru,Karnataka,South India,Retail,2023-07-31
C00232,Aarti Yadav,30.0,M,Jodhpur,Rajasthan,West India,Retail,2022-07-26
C00233,Riya Jain,63.0,M,Bhilai,Chhattisgarh,Central India,Retail,2024-11-14
C00234,Kavita Gupta,54.0,F,Chennai,Tamil Nadu,South India,Retail,2023-03-20
C00235,Karan Reddy,46.0,F,Visakhapatnam,Andhra Pradesh,South India,Retail,2023-09-09
C00236,Kumar Global Pvt Ltd,,Company,Kozhikode,Kerala,South India,Corporate,2021-10-09
C00237,Pooja Singh,51.0,M,New Delhi,Delhi,North India,Retail,2024-07-30
C00238,Sneha Bose,26.0,M,Bengaluru,Karnataka,South India,Retail,2024-02-02
C00239,Anjali Singh,30.0,F,Guwahati,Assam,East India,Retail,2022-10-20
C00240,Verma Enterprises Pvt Ltd,,Company,Amritsar,Punjab,North India,Corporate,2021-03-18
C00241,Chopra Systems Pvt Ltd,,Company,New Delhi,Delhi,North India,Corporate,2023-03-25
C00242,Municipal Corp,,Company,Bhilai,Chhattisgarh,Central India,Government,2021-01-19
C00243,Raj Menon,59.0,F,Gurugram,Haryana,North India,Retail,2021-10-02
C00244,Rahul Jain,47.0,F,Jaipur,Rajasthan,West India,Retail,2022-01-17
C00245,Raj Jain,58.0,F,Hyderabad,Telangana,South India,Retail,2023-05-26
C00246,Rahul Das,48.0,F,Vadodara,Gujarat,West India,Retail,2022-05-24
C00247,Kavita Rao,37.0,M,Madurai,Tamil Nadu,South India,Retail,2022-06-20
C00248,Neha Yadav,61.0,F,Gurugram,Haryana,North India,Retail,2024-11-14
C00249,Aarti Chopra,47.0,F,Amritsar,Punjab,North India,Retail,2023-05-02
C00250,Deepak Joshi,61.0,M,Surat,Gujarat,West India,Retail,2023-12-13
C00251,Aarti Gupta,53.0,M,New Delhi,Delhi,North India,Retail,2024-03-18
C00252,Raj Menon,31.0,F,Guwahati,Assam,East India,Retail,2021-07-06
C00253,Singh Global Pvt Ltd,,Company,Thiruvananthapuram,Kerala,South India,Corporate,2024-02-29
C00254,Priya Singh,18.0,M,Mumbai,Maharashtra,West India,Retail,2024-03-30
C00255,Anjali Bose,22.0,F,Nagpur,Maharashtra,West India,Retail,2021-03-06
C00256,Suresh Patel,42.0,F,Noida,Uttar Pradesh,North India,Retail,2023-02-13
C00257,Aarti Nair,40.0,M,Ahmedabad,Gujarat,West India,Retail,2022-01-01
C00258,Aarti Bose,19.0,F,Surat,Gujarat,West India,Retail,2023-08-07
C00259,Neha Singh,27.0,F,Ahmedabad,Gujarat,West India,Retail,2022-01-22
C00260,Kumar Global Pvt Ltd,,Company,Visakhapatnam,Andhra Pradesh,South India,Corporate,2021-05-18
C00261,Pooja Iyer,20.0,F,Visakhapatnam,Andhra Pradesh,South India,Retail,2023-06-18
C00262,Ravi Jain,36.0,M,Kolkata,West Bengal,East India,Retail,2024-03-25
C00263,Sneha Bose,35.0,M,Bhubaneswar,Odisha,East India,Retail,2024-02-15
C00264,Ravi Bose,60.0,F,Panipat,Haryana,North India,Retail,2023-12-11
C00265,Anjali Gupta,48.0,M,Hyderabad,Telangana,South India,Retail,2022-04-07
C00266,Joshi Systems Pvt Ltd,,Company,Dibrugarh,Assam,East India,Corporate,2024-02-16
C00267,Aarti Reddy,46.0,F,Chennai,Tamil Nadu,South India,Retail,2021-07-09
C00268,Aarti Reddy,22.0,M,Thiruvananthapuram,Kerala,South India,Retail,2024-04-18
C00269,Neha Chopra,18.0,M,Patna,Bihar,East India,Retail,2022-01-25
C00270,Iyer Solutions Pvt Ltd,,Company,Ahmedabad,Gujarat,West India,Corporate,2022-05-06
C00271,Raj Chopra,37.0,F,Thiruvananthapuram,Kerala,South India,Retail,2023-01-07
C00272,Ravi Bose,38.0,M,Margao,Goa,West India,Retail,2023-01-30
C00273,Vikram Reddy,53.0,F,Bhubaneswar,Odisha,East India,Retail,2022-08-28
C00274,Riya Chopra,59.0,F,Hyderabad,Telangana,South India,Retail,2022-06-12
C00275,Aarti Singh,64.0,F,Jaipur,Rajasthan,West India,Retail,2022-01-12
C00276,Sunita Gupta,60.0,M,Nagpur,Maharashtra,West India,Retail,2021-01-14
C00277,Menon Solutions Pvt Ltd,,Company,Ludhiana,Punjab,North India,Corporate,2023-11-02
C00278,Aarti Bose,19.0,M,Margao,Goa,West India,Retail,2023-12-26
C00279,Sunita Verma,36.0,M,Chennai,Tamil Nadu,South India,Retail,2023-10-26
C00280,Arjun Nair,57.0,F,Ludhiana,Punjab,North India,Retail,2022-12-27
C00281,Priya Singh,62.0,M,Bhilai,Chhattisgarh,Central India,Retail,2022-09-07
C00282,Sneha Patel,58.0,M,Thiruvananthapuram,Kerala,South India,Retail,2024-12-10
C00283,Karan Chopra,24.0,M,Chennai,Tamil Nadu,South India,Retail,2022-04-16
C00284,Ravi Sharma,54.0,M,Gaya,Bihar,East India,Retail,2022-01-03
C00285,Verma Academy,,Company,Hubli,Karnataka,South India,Education,2022-09-05
C00286,Vikram Patel,52.0,F,Margao,Goa,West India,Retail,2023-02-26
C00287,Suresh Jain,32.0,M,Indore,Madhya Pradesh,Central India,Retail,2022-11-29
C00288,Sneha Nair,40.0,F,Bengaluru,Karnataka,South India,Retail,2023-06-04
C00289,Suresh Gupta,23.0,F,Ahmedabad,Gujarat,West India,Retail,2021-11-12
C00290,Arjun Kumar,37.0,F,Visakhapatnam,Andhra Pradesh,South India,Retail,2023-01-08
C00291,Rahul Patel,50.0,F,Noida,Uttar Pradesh,North India,Retail,2021-07-31
C00292,Suresh Patel,18.0,F,Panipat,Haryana,North India,Retail,2023-04-28
C00293,Vikram Das,28.0,F,Hyderabad,Telangana,South India,Retail,2021-12-14
C00294,Riya Patel,35.0,F,Visakhapatnam,Andhra Pradesh,South India,Retail,2022-09-06
C00295,Vikram Yadav,30.0,F,Dibrugarh,Assam,East India,Retail,2021-08-08
C00296,Sunita Gupta,39.0,F,Thiruvananthapuram,Kerala,South India,Retail,2022-11-17
C00297,Anjali Chopra,29.0,F,Ahmedabad,Gujarat,West India,Retail,2022-10-16
C00298,Shah Public School,,Company,Jodhpur,Rajasthan,West India,Education,2023-03-16
C00299,Dept of Health,,Company,Chandigarh,Punjab,North India,Government,2024-02-01
C00300,Patel University,,Company,Hyderabad,Telangana,South India,Education,2022-08-20
C00301,Suresh Patel,60.0,M,Gurugram,Haryana,North India,Retail,2023-05-17
C00302,Amit Shah,50.0,F,Thiruvananthapuram,Kerala,South India,Retail,2024-01-19
C00303,Amit Nair,33.0,F,Mumbai,Maharashtra,West India,Retail,2021-12-07
C00304,Das International School,,Company,Bengaluru,Karnataka,South India,Education,2021-07-21
C00305,Suresh Menon,32.0,F,Kozhikode,Kerala,South India,Retail,2023-02-06
C00306,Anjali Bose,19.0,F,Kochi,Kerala,South India,Retail,2021-08-03
C00307,Transport Dept,,Company,Amritsar,Punjab,North India,Government,2022-12-04
