Customer Unique ID,Customer Name,Product Name,Category,Serial No,Expiry Date,Original Stock Purchase Date,Purchase Date,MRP (INR),Price Paid (INR),Discount (%),Supplier Company,Supplier Email,Payment Method,Warranty Period (months),Product Condition,Shipping Address,Customer Email,Contact Number,Order Status,Return Eligibility,Notes
CUST00016,Sunita Iyer,Crompton Ceiling Fan,Home Appliances,CROM930381,,2025-02-02,2025-03-04,2364,1881.74,20.4,Crompton Greaves,support@crompton.co.in,Debit Card,24,New,"480 Example Rd, Kanpur, UP",sunita.iyer@email.com,7822186217,Cancelled,No,N/A
CUST00017,Sneha Reddy,Crompton Ceiling Fan,Home Appliances,CROM329431,,2024-07-08,2024-07-28,1878,1545.59,17.7,Crompton Greaves,support@crompton.co.in,Credit Card,24,New,"184 Example Rd, Patna, BR",sneha.reddy@email.com,8978404795,Shipped,No,N/A
CUST00018,Rahul Sharma,Himalaya Neem Face Wash 150ml,Personal Care,HIMA574883,2026-05-08,2024-11-14,2024-11-30,188,161.68,14.0,Himalaya Wellness,info@himalayawellness.com,Net Banking,0,New,"891 Example Rd, Kolkata, WB",rahul.sharma@email.com,7632715716,Processing,No,For external use only
CUST00019,Rani Sen,Bajaj LED Bulb 9W,Electronics,BAJA987360,2027-09-03,2024-09-18,2024-10-02,125,116.0,7.2,Bajaj Electricals Ltd.,sales@bajajelectricals.com,Net Banking,12,New,"535 Example Rd, Patna, BR",rani.sen@email.com,9153133802,Delivered,Yes,Handle with care
CUST00020,Kavita Nair,Tata Salt 1kg,Grocery,TATA587390,2026-02-10,2025-02-15,2025-03-05,33,25.28,23.4,Tata Chemicals Ltd.,customercare@tatachemicals.com,Cash,0,New,"525 Example Rd, Pune, MH",kavita.nair@email.com,8833944010,Delivered,Yes,Store in cool dry place
CUST00021,Rani Sen,Prestige Pressure Cooker 5L,Home Appliances,PRES755167,,2024-08-01,2024-08-10,2189,1821.25,16.8,TTK Prestige Ltd.,support@ttkprestige.com,Credit Card,60,New,"514 Example Rd, Kolkata, WB",rani.sen@email.com,8287412081,Shipped,No,N/A
CUST00022,Rahul Sharma,Colgate Toothpaste 200g,Personal Care,COLG592011,2026-07-18,2024-07-28,2024-08-11,102,83.33,18.3,Colgate-Palmolive India,care@colpal.com,Debit Card,0,New,"801 Example Rd, Mumbai, MH",rahul.sharma@email.com,7046700695,Cancelled,No,For external use only
CUST00023,Manish Jain,Godrej Expert Hair Colour,Personal Care,GODR463830,2025-12-30,2025-01-04,2025-02-04,48,36.96,23.0,Godrej Consumer Products Ltd.,info@godrejcp.com,Cash,0,New,"466 Example Rd, Pune, MH",manish.jain@email.com,7442741840,Delivered,Yes,For external use only
CUST00024,Rajeev Bansal,Philips Trimmer QT4001,Electronics,PHIL349049,,2024-08-22,2024-09-03,1511,1254.13,17.0,Philips India Ltd.,contact@philips.co.in,Net Banking,24,New,"140 Example Rd, Bangalore, KA",rajeev.bansal@email.com,8152813573,Delivered,Yes,Handle with care
CUST00025,Meena Kumari,Colgate Toothpaste 200g,Personal Care,COLG549384,2027-04-16,2025-04-26,2025-06-09,95,75.81,20.2,Colgate-Palmolive India,care@colpal.com,Debit Card,0,New,"170 Example Rd, Ahmedabad, GJ",meena.kumari@email.com,9825249616,Shipped,No,For external use only
CUST00026,Rahul Sharma,Philips Trimmer QT4001,Electronics,PHIL599712,,2024-12-15,2024-12-27,1226,932.99,23.9,Philips India Ltd.,contact@philips.co.in,Credit Card,24,New,"487 Example Rd, Jaipur, RJ",rahul.sharma@email.com,8075788288,Processing,No,Handle with care
CUST00027,Meena Kumari,Prestige Pressure Cooker 5L,Home Appliances,PRES851233,,2024-07-11,2024-08-18,2271,2137.01,5.9,TTK Prestige Ltd.,support@ttkprestige.com,Wallet,60,New,"915 Example Rd, Mumbai, MH",meena.kumari@email.com,7062905554,Shipped,No,N/A
CUST00028,Vikram Patel,Dabur Honey 500g,Grocery,DABU546619,2027-02-10,2025-02-20,2025-03-13,199,184.87,7.1,Dabur India Ltd.,order@dabur.com,Debit Card,0,New,"407 Example Rd, Guwahati, AS",vikram.patel@email.com,8162403496,Shipped,No,Store in cool dry place
CUST00029,Priyanka Verma,Syska LED Bulb 12W,Electronics,SYSK294529,2027-06-08,2024-06-23,2024-06-29,153,145.2,5.1,Syska LED,support@syska.co.in,Cash,12,New,"267 Example Rd, Pune, MH",priyanka.verma@email.com,9833791082,Cancelled,No,Handle with care
CUST00030,Rahul Sharma,Mi Smart Band 5,Electronics,MI S608870,,2025-04-09,2025-05-05,2154,1906.29,11.5,Xiaomi India,service.in@xiaomi.com,Debit Card,12,New,"244 Example Rd, Bhopal, MP",rahul.sharma@email.com,7150880212,Cancelled,No,Handle with care
CUST00031,Priyanka Verma,Dettol Handwash 200ml,Personal Care,DETT765776,2026-08-10,2024-08-20,2024-10-07,74,55.57,24.9,Reckitt Benckiser,contact@reckitt.com,Debit Card,0,New,"518 Example Rd, Bangalore, KA",priyanka.verma@email.com,9253154537,Delivered,Yes,For external use only
CUST00032,Rahul Sharma,Tata Salt 1kg,Grocery,TATA944534,2026-01-06,2025-01-11,2025-01-21,25,19.88,20.5,Tata Chemicals Ltd.,customercare@tatachemicals.com,Wallet,0,New,"249 Example Rd, Kanpur, UP",rahul.sharma@email.com,7030756333,Cancelled,No,Store in cool dry place
CUST00033,Vikram Patel,Amul Gold Milk 1L,Grocery,AMUL651692,2024-09-18,2024-06-20,2024-07-10,60,54.36,9.4,Amul,contact@amul.coop,Wallet,0,New,"595 Example Rd, Nagpur, MH",vikram.patel@email.com,7216447545,Delivered,Yes,Store in cool dry place
CUST00034,Gaurav Mishra,Britannia Marie Gold 250g,Grocery,BRIT888561,2025-06-20,2024-06-25,2024-07-01,42,33.85,19.4,Britannia Industries,care@britindia.com,Cash,0,New,"523 Example Rd, Guwahati, AS",gaurav.mishra@email.com,9241161934,Shipped,No,Store in cool dry place
CUST00035,Deepak Joshi,Prestige Pressure Cooker 5L,Home Appliances,PRES772953,,2025-02-14,2025-04-03,2181,1753.52,19.6,TTK Prestige Ltd.,support@ttkprestige.com,Net Banking,60,New,"916 Example Rd, Bhopal, MP",deepak.joshi@email.com,8998080883,Delivered,Yes,N/A
CUST00036,Amitabh Das,Bajaj LED Bulb 9W,Electronics,BAJA267090,2028-01-03,2025-01-18,2025-03-04,103,85.9,16.6,Bajaj Electricals Ltd.,sales@bajajelectricals.com,UPI,12,New,"336 Example Rd, Kolkata, WB",amitabh.das@email.com,9329252646,Cancelled,No,Handle with care
CUST00037,Sneha Reddy,Fogg Body Spray 120ml,Personal Care,FOGG567905,2027-02-28,2025-03-10,2025-04-16,222,180.71,18.6,Vini Cosmetics,support@foggspray.com,Cash,0,New,"158 Example Rd, Kochi, KL",sneha.reddy@email.com,9787064924,Delivered,Yes,For external use only
CUST00038,Deepak Joshi,Prestige Pressure Cooker 5L,Home Appliances,PRES765170,,2024-09-10,2024-10-10,2324,2152.02,7.4,TTK Prestige Ltd.,support@ttkprestige.com,Net Banking,60,New,"488 Example Rd, Surat, GJ",deepak.joshi@email.com,7657422724,Delivered,Yes,N/A
CUST00039,Rani Sen,Colgate Toothpaste 200g,Personal Care,COLG893406,2026-10-27,2024-11-06,2024-11-07,100,79.3,20.7,Colgate-Palmolive India,care@colpal.com,Net Banking,0,New,"48 Example Rd, Pune, MH",rani.sen@email.com,8704278803,Delivered,Yes,For external use only
CUST00040,Rahul Sharma,Dettol Handwash 200ml,Personal Care,DETT910529,2026-10-28,2024-11-07,2024-12-10,67,59.56,11.1,Reckitt Benckiser,contact@reckitt.com,Wallet,0,New,"992 Example Rd, Ahmedabad, GJ",rahul.sharma@email.com,8589052843,Processing,No,For external use only
CUST00041,Sneha Reddy,Fogg Body Spray 120ml,Personal Care,FOGG123924,2027-02-25,2025-03-07,2025-04-24,229,175.19,23.5,Vini Cosmetics,support@foggspray.com,Debit Card,0,New,"37 Example Rd, Pune, MH",sneha.reddy@email.com,9602561816,Processing,No,For external use only
CUST00042,Arjun Gupta,Parachute Coconut Oil 500ml,Personal Care,PARA173110,2027-04-14,2025-04-24,2025-04-26,105,89.98,14.3,Marico Ltd.,marico@support.com,Net Banking,0,New,"651 Example Rd, Ahmedabad, GJ",arjun.gupta@email.com,8721307410,Delivered,Yes,For external use only
CUST00043,Deepak Joshi,Philips Trimmer QT4001,Electronics,PHIL301732,,2025-03-02,2025-03-15,1574,1289.11,18.1,Philips India Ltd.,contact@philips.co.in,Credit Card,24,New,"666 Example Rd, Surat, GJ",deepak.joshi@email.com,9125672593,Delivered,Yes,Handle with care
CUST00044,Ananya Singh,Tanishq Gold Ring,Jewellery,TANI481171,,2024-12-15,2025-01-03,25626,23370.91,8.8,Titan Company Ltd.,orders@titan.co.in,Credit Card,12,New,"14 Example Rd, Nagpur, MH",ananya.singh@email.com,9553975223,Processing,No,N/A
CUST00045,Manish Jain,Patanjali Ghee 1L,Grocery,PATA297673,2026-04-18,2025-04-23,2025-04-28,481,414.62,13.8,Patanjali Ayurved,support@patanjaliayurved.org,Net Banking,0,New,"689 Example Rd, Noida, UP",manish.jain@email.com,8945888684,Delivered,Yes,Store in cool dry place
CUST00046,Kavita Nair,Godrej Expert Hair Colour,Personal Care,GODR346013,2025-06-19,2024-06-24,2024-07-04,48,44.16,8.0,Godrej Consumer Products Ltd.,info@godrejcp.com,UPI,0,New,"56 Example Rd, Patna, BR",kavita.nair@email.com,9258240002,Delivered,Yes,For external use only
CUST00047,Kavita Nair,Tanishq Gold Ring,Jewellery,TANI686044,,2024-06-19,2024-06-29,26627,22659.58,14.9,Titan Company Ltd.,orders@titan.co.in,Wallet,12,New,"17 Example Rd, Kochi, KL",kavita.nair@email.com,8945795041,Shipped,No,N/A
CUST00048,Suresh Rao,Himalaya Neem Face Wash 150ml,Personal Care,HIMA471761,2026-07-14,2025-01-20,2025-02-01,152,137.26,9.7,Himalaya Wellness,info@himalayawellness.com,UPI,0,New,"121 Example Rd, Indore, MP",suresh.rao@email.com,9391544664,Cancelled,No,For external use only
CUST00049,Harshita Sinha,Parachute Coconut Oil 500ml,Personal Care,PARA666370,2027-01-16,2025-01-26,2025-03-05,81,76.3,5.8,Marico Ltd.,marico@support.com,Credit Card,0,New,"714 Example Rd, Lucknow, UP",harshita.sinha@email.com,8774339963,Cancelled,No,For external use only
CUST00050,Manish Jain,Amul Gold Milk 1L,Grocery,AMUL881609,2024-12-20,2024-09-21,2024-09-30,60,56.82,5.3,Amul,contact@amul.coop,UPI,0,New,"179 Example Rd, Jaipur, RJ",manish.jain@email.com,8842739042,Delivered,Yes,Store in cool dry place
CUST00051,Shweta Pandit,Dettol Handwash 200ml,Personal Care,DETT459048,2026-09-26,2024-10-06,2024-10-18,60,54.48,9.2,Reckitt Benckiser,contact@reckitt.com,Credit Card,0,New,"26 Example Rd, Mumbai, MH",shweta.pandit@email.com,8820673366,Shipped,No,For external use only
CUST00052,Rani Sen,Patanjali Ghee 1L,Grocery,PATA948149,2026-04-23,2025-04-28,2025-05-03,502,435.74,13.2,Patanjali Ayurved,support@patanjaliayurved.org,Debit Card,0,New,"833 Example Rd, Indore, MP",rani.sen@email.com,8164707026,Processing,No,Store in cool dry place
CUST00053,Harshita Sinha,Samsung Galaxy M32,Electronics,SAMS306360,,2025-02-10,2025-02-15,14028,12653.26,9.8,Samsung India,support@samsung.com,Cash,24,New,"330 Example Rd, Delhi, DL",harshita.sinha@email.com,8927754612,Cancelled,No,Handle with care
CUST00054,Harshita Sinha,Sunfeast Marie Light 200g,Grocery,SUNF423451,2025-08-15,2024-08-20,2024-08-26,35,29.08,16.9,ITC Ltd.,care@itc.in,Cash,0,New,"90 Example Rd, Kanpur, UP",harshita.sinha@email.com,9581772683,Shipped,No,Store in cool dry place
CUST00055,Kavita Nair,Tanishq Gold Ring,Jewellery,TANI738820,,2024-06-22,2024-08-05,24684,20487.72,17.0,Titan Company Ltd.,orders@titan.co.in,UPI,12,New,"644 Example Rd, Kanpur, UP",kavita.nair@email.com,8540153010,Processing,No,N/A
CUST00056,Kavita Nair,Dettol Handwash 200ml,Personal Care,DETT512979,2026-10-04,2024-10-14,2024-11-12,58,54.81,5.5,Reckitt Benckiser,contact@reckitt.com,Net Banking,0,New,"956 Example Rd, Lucknow, UP",kavita.nair@email.com,7174275269,Cancelled,No,For external use only
CUST00057,Rahul Sharma,Dettol Handwash 200ml,Personal Care,DETT349640,2026-08-12,2024-08-22,2024-09-15,71,64.18,9.6,Reckitt Benckiser,contact@reckitt.com,Cash,0,New,"949 Example Rd, Patna, BR",rahul.sharma@email.com,8689526566,Cancelled,No,For external use only
CUST00058,Deepak Joshi,Parachute Coconut Oil 500ml,Personal Care,PARA665773,2026-06-10,2024-06-20,2024-07-11,99,82.76,16.4,Marico Ltd.,marico@support.com,Cash,0,New,"162 Example Rd, Indore, MP",deepak.joshi@email.com,9927266798,Processing,No,For external use only
CUST00059,Sunita Iyer,Amul Gold Milk 1L,Grocery,AMUL127017,2024-12-08,2024-09-09,2024-09-23,71,56.3,20.7,Amul,contact@amul.coop,Wallet,0,New,"76 Example Rd, Nagpur, MH",sunita.iyer@email.com,7402153821,Processing,No,Store in cool dry place
CUST00060,Ananya Singh,Fogg Body Spray 120ml,Personal Care,FOGG558300,2026-12-30,2025-01-09,2025-01-21,209,160.09,23.4,Vini Cosmetics,support@foggspray.com,Cash,0,New,"720 Example Rd, Patna, BR",ananya.singh@email.com,8519217220,Delivered,Yes,For external use only
CUST00061,Shweta Pandit,Mi Smart Band 5,Electronics,MI S817788,,2025-01-14,2025-02-13,2174,1789.2,17.7,Xiaomi India,service.in@xiaomi.com,Cash,12,New,"144 Example Rd, Kochi, KL",shweta.pandit@email.com,9569320834,Processing,No,Handle with care
CUST00062,Manish Jain,Dabur Honey 500g,Grocery,DABU937891,2026-08-12,2024-08-22,2024-08-25,203,191.43,5.7,Dabur India Ltd.,order@dabur.com,Wallet,0,New,"747 Example Rd, Kolkata, WB",manish.jain@email.com,9016409180,Cancelled,No,Store in cool dry place
CUST00063,Sunita Iyer,Colgate Toothpaste 200g,Personal Care,COLG270126,2026-12-05,2024-12-15,2024-12-24,91,74.8,17.8,Colgate-Palmolive India,care@colpal.com,UPI,0,New,"834 Example Rd, Ahmedabad, GJ",sunita.iyer@email.com,9971869875,Shipped,No,For external use only
CUST00064,Priyanka Verma,Godrej Expert Hair Colour,Personal Care,GODR139542,2026-01-03,2025-01-08,2025-02-10,43,32.81,23.7,Godrej Consumer Products Ltd.,info@godrejcp.com,Net Banking,0,New,"136 Example Rd, Ahmedabad, GJ",priyanka.verma@email.com,9910326346,Processing,No,For external use only
CUST00065,Manish Jain,Dettol Handwash 200ml,Personal Care,DETT368719,2027-01-13,2025-01-23,2025-02-22,60,50.82,15.3,Reckitt Benckiser,contact@reckitt.com,Credit Card,0,New,"119 Example Rd, Kochi, KL",manish.jain@email.com,9473559749,Shipped,No,For external use only
CUST00066,Rahul Sharma,Parachute Coconut Oil 500ml,Personal Care,PARA630313,2027-01-06,2025-01-16,2025-02-26,115,97.06,15.6,Marico Ltd.,marico@support.com,Wallet,0,New,"57 Example Rd, Surat, GJ",rahul.sharma@email.com,7498242303,Delivered,Yes,For external use only
CUST00067,Vikram Patel,Prestige Pressure Cooker 5L,Home Appliances,PRES612529,,2024-09-11,2024-10-29,2311,1837.25,20.5,TTK Prestige Ltd.,support@ttkprestige.com,Debit Card,60,New,"447 Example Rd, Guwahati, AS",vikram.patel@email.com,7856976796,Delivered,Yes,N/A
CUST00068,Harshita Sinha,Mi Smart Band 5,Electronics,MI S536964,,2024-08-26,2024-09-14,2331,2081.58,10.7,Xiaomi India,service.in@xiaomi.com,UPI,12,New,"145 Example Rd, Patna, BR",harshita.sinha@email.com,8082595753,Cancelled,No,Handle with care
CUST00069,Nidhi Chawla,Fogg Body Spray 120ml,Personal Care,FOGG538894,2027-02-06,2025-02-16,2025-03-27,207,185.89,10.2,Vini Cosmetics,support@foggspray.com,Wallet,0,New,"302 Example Rd, Bangalore, KA",nidhi.chawla@email.com,7328548051,Cancelled,No,For external use only
CUST00070,Kavita Nair,Syska LED Bulb 12W,Electronics,SYSK306035,2027-06-30,2024-07-15,2024-08-27,187,157.08,16.0,Syska LED,support@syska.co.in,Wallet,12,New,"939 Example Rd, Patna, BR",kavita.nair@email.com,9370217446,Shipped,No,Handle with care
CUST00071,Deepak Joshi,Tanishq Gold Ring,Jewellery,TANI727904,,2025-01-29,2025-03-19,26379,24690.74,6.4,Titan Company Ltd.,orders@titan.co.in,UPI,12,New,"491 Example Rd, Surat, GJ",deepak.joshi@email.com,8841334741,Processing,No,N/A
CUST00072,Amitabh Das,Colgate Toothpaste 200g,Personal Care,COLG329763,2026-10-13,2024-10-23,2024-10-26,102,83.95,17.7,Colgate-Palmolive India,care@colpal.com,Net Banking,0,New,"914 Example Rd, Guwahati, AS",amitabh.das@email.com,9282941573,Delivered,Yes,For external use only
CUST00073,Rahul Sharma,Colgate Toothpaste 200g,Personal Care,COLG975986,2026-07-01,2024-07-11,2024-08-10,86,78.09,9.2,Colgate-Palmolive India,care@colpal.com,Cash,0,New,"804 Example Rd, Ahmedabad, GJ",rahul.sharma@email.com,7747279836,Processing,No,For external use only
CUST00074,Sunita Iyer,Dettol Handwash 200ml,Personal Care,DETT976592,2026-08-16,2024-08-26,2024-09-24,61,55.45,9.1,Reckitt Benckiser,contact@reckitt.com,Debit Card,0,New,"401 Example Rd, Bhopal, MP",sunita.iyer@email.com,7341934182,Delivered,Yes,For external use only
CUST00075,Sunita Iyer,Mi Smart Band 5,Electronics,MI S297144,,2025-01-14,2025-02-02,2405,1948.05,19.0,Xiaomi India,service.in@xiaomi.com,Net Banking,12,New,"292 Example Rd, Mumbai, MH",sunita.iyer@email.com,8484488702,Processing,No,Handle with care
CUST00076,Shweta Pandit,Prestige Pressure Cooker 5L,Home Appliances,PRES553314,,2024-06-30,2024-08-12,2252,2092.11,7.1,TTK Prestige Ltd.,support@ttkprestige.com,Debit Card,60,New,"118 Example Rd, Bhopal, MP",shweta.pandit@email.com,8625676792,Cancelled,No,N/A
CUST00077,Amitabh Das,Sunfeast Marie Light 200g,Grocery,SUNF299972,2026-04-07,2025-04-12,2025-05-03,35,29.19,16.6,ITC Ltd.,care@itc.in,UPI,0,New,"270 Example Rd, Patna, BR",amitabh.das@email.com,9651141994,Delivered,Yes,Store in cool dry place
CUST00078,Priyanka Verma,Godrej Expert Hair Colour,Personal Care,GODR622991,2026-03-04,2025-03-09,2025-03-21,43,33.71,21.6,Godrej Consumer Products Ltd.,info@godrejcp.com,Debit Card,0,New,"486 Example Rd, Delhi, DL",priyanka.verma@email.com,8815233385,Delivered,Yes,For external use only
CUST00079,Harshita Sinha,Godrej Expert Hair Colour,Personal Care,GODR661152,2026-01-20,2025-01-25,2025-03-03,35,26.5,24.3,Godrej Consumer Products Ltd.,info@godrejcp.com,Cash,0,New,"850 Example Rd, Surat, GJ",harshita.sinha@email.com,7996163907,Shipped,No,For external use only
CUST00080,Kavita Nair,Mi Smart Band 5,Electronics,MI S953887,,2024-07-21,2024-08-15,2254,1960.98,13.0,Xiaomi India,service.in@xiaomi.com,Credit Card,12,New,"570 Example Rd, Bangalore, KA",kavita.nair@email.com,9412054635,Shipped,No,Handle with care
CUST00081,Kavita Nair,Colgate Toothpaste 200g,Personal Care,COLG350607,2026-06-19,2024-06-29,2024-07-22,104,92.56,11.0,Colgate-Palmolive India,care@colpal.com,UPI,0,New,"618 Example Rd, Hyderabad, TS",kavita.nair@email.com,7727182852,Delivered,Yes,For external use only
CUST00082,Rohit Mehra,Sunfeast Marie Light 200g,Grocery,SUNF162846,2026-02-04,2025-02-09,2025-03-31,32,24.96,22.0,ITC Ltd.,care@itc.in,Debit Card,0,New,"876 Example Rd, Indore, MP",rohit.mehra@email.com,8298040919,Shipped,No,Store in cool dry place
CUST00083,Kavita Nair,Samsung Galaxy M32,Electronics,SAMS886411,,2025-05-02,2025-06-19,14027,10604.41,24.4,Samsung India,support@samsung.com,Cash,24,New,"579 Example Rd, Patna, BR",kavita.nair@email.com,8529635375,Delivered,Yes,Handle with care
CUST00084,Deepak Joshi,Parachute Coconut Oil 500ml,Personal Care,PARA673385,2026-11-04,2024-11-14,2024-11-23,91,70.89,22.1,Marico Ltd.,marico@support.com,UPI,0,New,"842 Example Rd, Hyderabad, TS",deepak.joshi@email.com,8458770470,Cancelled,No,For external use only
CUST00085,Kavita Nair,Parachute Coconut Oil 500ml,Personal Care,PARA887759,2027-03-03,2025-03-13,2025-04-16,92,86.2,6.3,Marico Ltd.,marico@support.com,Wallet,0,New,"255 Example Rd, Mumbai, MH",kavita.nair@email.com,9603258907,Delivered,Yes,For external use only
CUST00086,Amitabh Das,Patanjali Ghee 1L,Grocery,PATA770361,2025-10-10,2024-10-15,2024-11-26,614,493.66,19.6,Patanjali Ayurved,support@patanjaliayurved.org,Cash,0,New,"242 Example Rd, Ahmedabad, GJ",amitabh.das@email.com,7521955633,Shipped,No,Store in cool dry place
CUST00087,Harshita Sinha,Fogg Body Spray 120ml,Personal Care,FOGG736100,2026-06-21,2024-07-01,2024-08-11,227,172.07,24.2,Vini Cosmetics,support@foggspray.com,Cash,0,New,"759 Example Rd, Jaipur, RJ",harshita.sinha@email.com,9909567837,Shipped,No,For external use only
CUST00088,Priyanka Verma,Dettol Handwash 200ml,Personal Care,DETT418930,2026-11-15,2024-11-25,2024-12-03,64,58.11,9.2,Reckitt Benckiser,contact@reckitt.com,Debit Card,0,New,"143 Example Rd, Patna, BR",priyanka.verma@email.com,8273515938,Delivered,Yes,For external use only
CUST00089,Shweta Pandit,Dettol Handwash 200ml,Personal Care,DETT646537,2026-11-12,2024-11-22,2024-12-28,66,52.87,19.9,Reckitt Benckiser,contact@reckitt.com,Credit Card,0,New,"566 Example Rd, Mumbai, MH",shweta.pandit@email.com,9550424344,Delivered,Yes,For external use only
CUST00090,Harshita Sinha,Syska LED Bulb 12W,Electronics,SYSK502373,2027-07-16,2024-07-31,2024-08-29,168,144.31,14.1,Syska LED,support@syska.co.in,Wallet,12,New,"511 Example Rd, Kolkata, WB",harshita.sinha@email.com,9753149352,Cancelled,No,Handle with care
CUST00091,Vikram Patel,Samsung Galaxy M32,Electronics,SAMS421854,,2024-10-09,2024-10-28,16647,13817.01,17.0,Samsung India,support@samsung.com,Cash,24,New,"670 Example Rd, Surat, GJ",vikram.patel@email.com,9408323189,Shipped,No,Handle with care
CUST00092,Shweta Pandit,Syska LED Bulb 12W,Electronics,SYSK776970,2027-12-31,2025-01-15,2025-01-24,178,154.33,13.3,Syska LED,support@syska.co.in,Debit Card,12,New,"381 Example Rd, Vadodara, GJ",shweta.pandit@email.com,7610970035,Processing,No,Handle with care
CUST00093,Ananya Singh,Fogg Body Spray 120ml,Personal Care,FOGG868548,2026-11-17,2024-11-27,2025-01-12,209,174.51,16.5,Vini Cosmetics,support@foggspray.com,Net Banking,0,New,"157 Example Rd, Lucknow, UP",ananya.singh@email.com,7284009574,Delivered,Yes,For external use only
